country,ISO2,ISO3,lps,direct_emissions,indirect_emissions,total_emissions
Angola,AO,AGO,LGA,2.5962,0.497,3.0932
Angola,AO,AGO,LGH,0.8352,0.2727,1.1079
Angola,AO,AGO,LGT,0.5368,0.081,0.6178
Angola,AO,AGO,LGY,0,0,0
Angola,AO,AGO,MIA,0.0025,0.0003,0.0028
Angola,AO,AGO,MRA,1.5312,0.1145,1.6457
Angola,AO,AGO,MRH,0.0569,0.0475,0.1044
Angola,AO,AGO,MRT,0.2503,0.011,0.2613
Angola,AO,AGO,MRY,0,0.0001,0.0001
Angola,AO,AGO,Other,0.3676,0.2555,0.6231
Angola,AO,AGO,Urban,0.0006,0,0.0006
Benin,BJ,BEN,LGA,1.1135,0,1.1135
Benin,BJ,BEN,LGH,0.5224,0,0.5224
Benin,BJ,BEN,MIH,0.0064,0,0.0064
Benin,BJ,BEN,MRA,1.806,0,1.806
Benin,BJ,BEN,MRH,0.9088,0,0.9088
Benin,BJ,BEN,Other,0.0032,0,0.0032
Benin,BJ,BEN,Urban,0,0,0
Botswana,BW,BWA,LGA,0.9821,0,0.9821
Botswana,BW,BWA,MRA,0.2267,0,0.2267
Botswana,BW,BWA,Other,0.0037,0,0.0037
Botswana,BW,BWA,Urban,0.0013,0,0.0013
Burkina Faso,BF,BFA,LGA,6.4678,0,6.4678
Burkina Faso,BF,BFA,LGH,0.1745,0,0.1745
Burkina Faso,BF,BFA,MIA,0.0059,0,0.0059
Burkina Faso,BF,BFA,MRA,18.1721,0,18.1721
Burkina Faso,BF,BFA,MRH,0.0025,0,0.0025
Burkina Faso,BF,BFA,Other,0,0,0
Burkina Faso,BF,BFA,Urban,0.0095,0,0.0095
Burundi,BI,BDI,LGH,0.0067,0,0.0067
Burundi,BI,BDI,LGT,0.0063,0,0.0063
Burundi,BI,BDI,MIH,0.0215,0.0007,0.0222
Burundi,BI,BDI,MIT,0.0039,0,0.0039
Burundi,BI,BDI,MRH,0.3569,0.0016,0.3585
Burundi,BI,BDI,MRT,1.0785,0.0027,1.0812
Burundi,BI,BDI,Other,0.0739,0.0011,0.075
Cameroon,CM,CMR,LGA,0.2451,0.0244,0.2695
Cameroon,CM,CMR,LGH,4.6518,0.4927,5.1445
Cameroon,CM,CMR,LGT,0.2317,0.0085,0.2402
Cameroon,CM,CMR,MIA,0.0171,0,0.0171
Cameroon,CM,CMR,MIH,0.0012,0,0.0012
Cameroon,CM,CMR,MIT,0.0059,0.0003,0.0062
Cameroon,CM,CMR,MRA,2.5087,0.0116,2.5203
Cameroon,CM,CMR,MRH,0.5201,0.0627,0.5828
Cameroon,CM,CMR,MRT,0.4028,0.0132,0.416
Cameroon,CM,CMR,Other,0.8688,0.2289,1.0977
Cameroon,CM,CMR,Urban,0.0003,0.001,0.0013
Central African Republic,CF,CAF,LGA,0.3332,0.2562,0.5894
Central African Republic,CF,CAF,LGH,5.9236,2.5499,8.4735
Central African Republic,CF,CAF,MRA,0.1691,0.1019,0.271
Central African Republic,CF,CAF,MRH,0.7782,0.3285,1.1067
Central African Republic,CF,CAF,Other,0.3566,0.1901,0.5467
Chad,TD,TCD,LGA,14.8757,0.0634,14.9391
Chad,TD,TCD,LGH,0.0182,0.0028,0.021
Chad,TD,TCD,LGY,0.0006,0,0.0006
Chad,TD,TCD,MIA,0.0276,0.0001,0.0277
Chad,TD,TCD,MRA,13.7391,0.0832,13.8223
Chad,TD,TCD,Other,0.1436,0.0002,0.1438
Chad,TD,TCD,Urban,0.0029,0,0.0029
Cote d'Ivoire,CI,CIV,LGA,0.1306,0.0309,0.1615
Cote d'Ivoire,CI,CIV,LGH,1.8275,1.1601,2.9876
Cote d'Ivoire,CI,CIV,MIA,0.0038,0,0.0038
Cote d'Ivoire,CI,CIV,MIH,0.0051,0.0033,0.0084
Cote d'Ivoire,CI,CIV,MRA,0.4254,0.003,0.4284
Cote d'Ivoire,CI,CIV,MRH,0.8183,0.4099,1.2282
Cote d'Ivoire,CI,CIV,Other,0.0217,0.0276,0.0493
Cote d'Ivoire,CI,CIV,Urban,0.0008,0,0.0008
Democratic Republic of the congo,CD,COD,LGA,0.0016,0.0514,0.053
Democratic Republic of the congo,CD,COD,LGH,0.6715,0.4374,1.1089
Democratic Republic of the congo,CD,COD,LGT,0.0161,0.0097,0.0258
Democratic Republic of the congo,CD,COD,MIH,0.0003,0.0005,0.0008
Democratic Republic of the congo,CD,COD,MRA,0.001,0.0072,0.0082
Democratic Republic of the congo,CD,COD,MRH,0.2618,0.0858,0.3476
Democratic Republic of the congo,CD,COD,MRT,0.0719,0.0215,0.0934
Democratic Republic of the congo,CD,COD,Other,1.0091,0.7901,1.7992
Democratic Republic of the congo,CD,COD,Urban,0.0001,0.0002,0.0003
Djibouti,DJ,DJI,LGA,0.4353,0,0.4353
Djibouti,DJ,DJI,Other,0.0072,0,0.0072
Equatorial Guinea,GQ,GNQ,LGH,0.0002,0,0.0002
Equatorial Guinea,GQ,GNQ,MRH,0.0015,0,0.0015
Equatorial Guinea,GQ,GNQ,MRT,0,0,0
Equatorial Guinea,GQ,GNQ,Other,0.0062,0,0.0062
Eritrea,ER,ERI,LGA,1.6039,0,1.6039
Eritrea,ER,ERI,LGT,0.0394,0,0.0394
Eritrea,ER,ERI,MIA,0.0093,0,0.0093
Eritrea,ER,ERI,MRA,1.0603,0,1.0603
Eritrea,ER,ERI,MRT,0.1269,0,0.1269
Eritrea,ER,ERI,Other,0.0065,0,0.0065
Ethiopia,ET,ETH,LGA,11.574,0.2571,11.8311
Ethiopia,ET,ETH,LGH,3.071,0.0742,3.1452
Ethiopia,ET,ETH,LGT,3.3046,0.0407,3.3453
Ethiopia,ET,ETH,MIA,0.2049,0.0003,0.2052
Ethiopia,ET,ETH,MIH,0.012,0.0001,0.0121
Ethiopia,ET,ETH,MIT,0.7792,0.0024,0.7816
Ethiopia,ET,ETH,MRA,11.319,0.0746,11.3936
Ethiopia,ET,ETH,MRH,3.2403,0.0728,3.3131
Ethiopia,ET,ETH,MRT,41.4689,0.2321,41.701
Ethiopia,ET,ETH,Other,2.236,0.0808,2.3168
Ethiopia,ET,ETH,Urban,0.0047,0,0.0047
Gabon,GA,GAB,LGH,0.0045,0.0144,0.0189
Gabon,GA,GAB,MIH,0,0,0
Gabon,GA,GAB,MRH,0.0058,0.0679,0.0737
Gabon,GA,GAB,Other,0.0595,0.2036,0.2631
Gabon,GA,GAB,Urban,0,0.0018,0.0018
Gambia,GM,GMB,LGA,0.0865,0,0.0865
Gambia,GM,GMB,MRA,0.623,0,0.623
Gambia,GM,GMB,Other,0.0215,0,0.0215
Ghana,GH,GHA,LGA,0.974,0,0.974
Ghana,GH,GHA,LGH,1.4955,0.0216,1.5171
Ghana,GH,GHA,MRA,1.2749,0,1.2749
Ghana,GH,GHA,MRH,2.2438,0.0596,2.3034
Ghana,GH,GHA,Other,0.1347,0.0059,0.1406
Ghana,GH,GHA,Urban,0.001,0,0.001
Guinea,GN,GIN,LGA,3.9451,0.2518,4.1969
Guinea,GN,GIN,LGH,4.501,0.8114,5.3124
Guinea,GN,GIN,MIA,0.049,0.0042,0.0532
Guinea,GN,GIN,MIH,0.0137,0.0022,0.0159
Guinea,GN,GIN,MRA,0.799,0.0935,0.8925
Guinea,GN,GIN,MRH,4.2446,0.5955,4.8401
Guinea,GN,GIN,Other,0.425,0.036,0.461
Guinea,GN,GIN,Urban,0.0149,0,0.0149
Guinea-Bissau,GW,GNB,LGA,0.5742,0.0879,0.6621
Guinea-Bissau,GW,GNB,MIA,0.0214,0.008,0.0294
Guinea-Bissau,GW,GNB,MRA,0.5733,0.0839,0.6572
Guinea-Bissau,GW,GNB,MRH,0.0319,0.0002,0.0321
Guinea-Bissau,GW,GNB,MRY,0.0012,0.0001,0.0013
Guinea-Bissau,GW,GNB,Other,0.1765,0.0056,0.1821
Kenya,KE,KEN,LGA,10.1336,0.0397,10.1733
Kenya,KE,KEN,LGH,0.5668,0.0138,0.5806
Kenya,KE,KEN,LGT,2.6936,0.0777,2.7713
Kenya,KE,KEN,MIA,0.1398,0,0.1398
Kenya,KE,KEN,MIH,0.226,0.0001,0.2261
Kenya,KE,KEN,MIT,0.0452,0.0002,0.0454
Kenya,KE,KEN,MRA,3.6401,0.0021,3.6422
Kenya,KE,KEN,MRH,4.5402,0.0049,4.5451
Kenya,KE,KEN,MRT,9.9286,0.2195,10.1481
Kenya,KE,KEN,Other,4.5553,0.1362,4.6915
Kenya,KE,KEN,Urban,0.0151,0,0.0151
Lesotho,LS,LSO,LGT,0.4778,0.0002,0.478
Lesotho,LS,LSO,MIT,0.0014,0,0.0014
Lesotho,LS,LSO,MRT,0.3684,0,0.3684
Liberia,LR,LBR,LGH,0.0001,0,0.0001
Liberia,LR,LBR,MRH,0.1159,0.0031,0.119
Liberia,LR,LBR,MRY,0.0001,0,0.0001
Liberia,LR,LBR,Other,0.0455,0.0002,0.0457
Madagascar,MG,MDG,LGA,4.8811,3.9963,8.8774
Madagascar,MG,MDG,LGH,1.2181,0.4432,1.6613
Madagascar,MG,MDG,LGT,0.6667,0.1731,0.8398
Madagascar,MG,MDG,LGY,0.0027,0.0038,0.0065
Madagascar,MG,MDG,MIA,0.2325,0.1539,0.3864
Madagascar,MG,MDG,MIH,0.0437,0.0107,0.0544
Madagascar,MG,MDG,MIT,0.0188,0.0073,0.0261
Madagascar,MG,MDG,MRA,0.2934,0.2276,0.521
Madagascar,MG,MDG,MRH,1.0277,0.3399,1.3676
Madagascar,MG,MDG,MRT,0.0323,0.007,0.0393
Madagascar,MG,MDG,MRY,0.0007,0.0042,0.0049
Madagascar,MG,MDG,Other,1.7065,1.4887,3.1952
Malawi,MW,MWI,LGA,0.5049,0.0092,0.5141
Malawi,MW,MWI,LGH,0.2193,0.0065,0.2258
Malawi,MW,MWI,LGT,0.035,0.0012,0.0362
Malawi,MW,MWI,MIA,0.0035,0,0.0035
Malawi,MW,MWI,MRA,1.8536,0.0388,1.8924
Malawi,MW,MWI,MRH,0.5151,0.0102,0.5253
Malawi,MW,MWI,MRT,0.0673,0.0101,0.0774
Malawi,MW,MWI,Other,0.7099,0.0698,0.7797
Malawi,MW,MWI,Urban,0.0039,0,0.0039
Mali,ML,MLI,LGA,12.7038,0.0006,12.7044
Mali,ML,MLI,LGY,0.5541,0,0.5541
Mali,ML,MLI,MIA,0.2202,0,0.2202
Mali,ML,MLI,MRA,12.9454,0.0006,12.946
Mali,ML,MLI,Other,0.0395,0,0.0395
Mali,ML,MLI,Urban,0.003,0,0.003
Mauritania,MR,MRT,LGA,4.0485,0,4.0485
Mauritania,MR,MRT,LGY,0.0027,0,0.0027
Mauritania,MR,MRT,MIA,0.0382,0,0.0382
Mauritania,MR,MRT,MRA,1.9491,0,1.9491
Mauritania,MR,MRT,Other,0.0064,0,0.0064
Mauritania,MR,MRT,Urban,0,0,0
Mozambique,MZ,MOZ,LGA,0.945,0.8709,1.8159
Mozambique,MZ,MOZ,LGH,0.1723,0.5115,0.6838
Mozambique,MZ,MOZ,LGT,0.0012,0.001,0.0022
Mozambique,MZ,MOZ,LGY,0.0005,0.0005,0.001
Mozambique,MZ,MOZ,MIA,0.0169,0.0001,0.017
Mozambique,MZ,MOZ,MIH,0.006,0,0.006
Mozambique,MZ,MOZ,MRA,0.4798,0.1549,0.6347
Mozambique,MZ,MOZ,MRH,0.1353,0.2638,0.3991
Mozambique,MZ,MOZ,MRT,0.0026,0.0006,0.0032
Mozambique,MZ,MOZ,MRY,0,0.0003,0.0003
Mozambique,MZ,MOZ,Other,0.6582,1.1414,1.7996
Mozambique,MZ,MOZ,Urban,0.0005,0,0.0005
Namibia,0,NAM,LGA,1.9102,0,1.9102
Namibia,0,NAM,LGT,0,0,0
Namibia,0,NAM,LGY,0.0002,0,0.0002
Namibia,0,NAM,MRA,1.1042,0,1.1042
Namibia,0,NAM,MRT,0,0,0
Namibia,0,NAM,Other,0.0034,0,0.0034
Namibia,0,NAM,Urban,0.0184,0,0.0184
Niger,NE,NER,LGA,13.5334,0,13.5334
Niger,NE,NER,LGY,0.0014,0,0.0014
Niger,NE,NER,MIA,0.015,0,0.015
Niger,NE,NER,MRA,10.7691,0,10.7691
Niger,NE,NER,Other,0.0051,0,0.0051
Niger,NE,NER,Urban,0.0022,0,0.0022
Nigeria,NG,NGA,LGA,0.5265,0,0.5265
Nigeria,NG,NGA,LGH,3.5019,0.2517,3.7536
Nigeria,NG,NGA,LGT,0.2392,0.0112,0.2504
Nigeria,NG,NGA,MIA,0.3768,0,0.3768
Nigeria,NG,NGA,MIH,0.0137,0,0.0137
Nigeria,NG,NGA,MRA,37.5939,0,37.5939
Nigeria,NG,NGA,MRH,15.8233,0.051,15.8743
Nigeria,NG,NGA,MRT,0.2602,0.0085,0.2687
Nigeria,NG,NGA,Other,0.3574,0.0107,0.3681
Nigeria,NG,NGA,Urban,0.134,0,0.134
Republic of the Congo,CG,COG,LGH,0.1188,0.2262,0.345
Republic of the Congo,CG,COG,MIH,0.0016,0.001,0.0026
Republic of the Congo,CG,COG,MRH,0.0217,0.0452,0.0669
Republic of the Congo,CG,COG,Other,0.1976,0.4445,0.6421
Republic of the Congo,CG,COG,Urban,0,0.0005,0.0005
Rwanda,RW,RWA,LGH,0.024,0,0.024
Rwanda,RW,RWA,LGT,0.0036,0.0001,0.0037
Rwanda,RW,RWA,MIH,0.0081,0,0.0081
Rwanda,RW,RWA,MRH,0.863,0.0001,0.8631
Rwanda,RW,RWA,MRT,1.2056,0.0277,1.2333
Rwanda,RW,RWA,Other,0.0722,0.0117,0.0839
Senegal,SN,SEN,LGA,2.1765,0,2.1765
Senegal,SN,SEN,MIA,0.0228,0,0.0228
Senegal,SN,SEN,MRA,5.9866,0,5.9866
Senegal,SN,SEN,Other,0.0769,0,0.0769
Senegal,SN,SEN,Urban,0,0,0
Sierra Leone,SL,SLE,LGH,0.1029,0.0196,0.1225
Sierra Leone,SL,SLE,MIH,0.0108,0.0015,0.0123
Sierra Leone,SL,SLE,MRH,0.8781,0.1319,1.01
Sierra Leone,SL,SLE,MRT,0.0002,0.0004,0.0006
Sierra Leone,SL,SLE,Other,0.0589,0.0108,0.0697
Somalia,SO,SOM,LGA,8.2189,0,8.2189
Somalia,SO,SOM,LGT,0.0155,0,0.0155
Somalia,SO,SOM,LGY,0.0503,0,0.0503
Somalia,SO,SOM,MIA,0.1983,0,0.1983
Somalia,SO,SOM,MRA,1.0797,0,1.0797
Somalia,SO,SOM,Other,0.2228,0,0.2228
South Africa,ZA,ZAF,LGA,5.1006,0.3733,5.4739
South Africa,ZA,ZAF,LGH,0.963,0.1452,1.1082
South Africa,ZA,ZAF,LGT,2.5014,0.1349,2.6363
South Africa,ZA,ZAF,LGY,0.0002,0,0.0002
South Africa,ZA,ZAF,MIA,0.2162,0.0161,0.2323
South Africa,ZA,ZAF,MIH,0.0372,0.0103,0.0475
South Africa,ZA,ZAF,MIT,0.1157,0.0187,0.1344
South Africa,ZA,ZAF,MRA,4.709,0.1644,4.8734
South Africa,ZA,ZAF,MRH,2.3409,0.2632,2.6041
South Africa,ZA,ZAF,MRT,4.6854,0.1495,4.8349
South Africa,ZA,ZAF,Other,1.772,0.2773,2.0493
South Africa,ZA,ZAF,Urban,0.1094,0.0074,0.1168
South Sudan,SS,SSD,LGA,7.8635,0.0252,7.8887
South Sudan,SS,SSD,LGH,3.2281,0.1943,3.4224
South Sudan,SS,SSD,LGT,0.0103,0.0003,0.0106
South Sudan,SS,SSD,MRA,4.2259,0.0134,4.2393
South Sudan,SS,SSD,MRH,0.4539,0.0407,0.4946
South Sudan,SS,SSD,MRT,0.0141,0.0003,0.0144
South Sudan,SS,SSD,Other,0.6523,0.0019,0.6542
Sudan,SD,SDN,LGA,11.6752,0.0011,11.6763
Sudan,SD,SDN,LGY,0.0757,0,0.0757
Sudan,SD,SDN,MIA,1.8189,0,1.8189
Sudan,SD,SDN,MIY,0.0026,0,0.0026
Sudan,SD,SDN,MRA,20.8972,0,20.8972
Sudan,SD,SDN,MRT,0.0233,0,0.0233
Sudan,SD,SDN,MRY,0.0006,0,0.0006
Sudan,SD,SDN,Other,0.0011,0,0.0011
Sudan,SD,SDN,Urban,0.0251,0,0.0251
Tanzania,TZ,TZA,LGA,4.5783,2.1838,6.7621
Tanzania,TZ,TZA,LGH,2.0529,1.9046,3.9575
Tanzania,TZ,TZA,LGT,0.7363,0.0791,0.8154
Tanzania,TZ,TZA,MIA,0.0356,0.0001,0.0357
Tanzania,TZ,TZA,MIT,0.0009,0,0.0009
Tanzania,TZ,TZA,MRA,13.4821,1.5696,15.0517
Tanzania,TZ,TZA,MRH,8.1635,1.1533,9.3168
Tanzania,TZ,TZA,MRT,1.1472,0.1873,1.3345
Tanzania,TZ,TZA,MRY,0,0,0
Tanzania,TZ,TZA,Other,2.4883,2.1563,4.6446
Tanzania,TZ,TZA,Urban,0.011,0,0.011
Togo,TG,TGO,LGA,0.1171,0,0.1171
Togo,TG,TGO,LGH,0.3259,0.0128,0.3387
Togo,TG,TGO,MIH,0.0047,0,0.0047
Togo,TG,TGO,MRA,0.6229,0,0.6229
Togo,TG,TGO,MRH,1.034,0.0191,1.0531
Togo,TG,TGO,Other,0.0127,0.0013,0.014
Togo,TG,TGO,Urban,0.005,0,0.005
Uganda,UG,UGA,LGA,0.1323,0.0002,0.1325
Uganda,UG,UGA,LGH,1.0295,0.0316,1.0611
Uganda,UG,UGA,LGT,0.0703,0.0018,0.0721
Uganda,UG,UGA,MRA,0.4476,0.0005,0.4481
Uganda,UG,UGA,MRH,14.432,0.4429,14.8749
Uganda,UG,UGA,MRT,3.4352,0.0276,3.4628
Uganda,UG,UGA,Other,1.495,0.0584,1.5534
Uganda,UG,UGA,Urban,0.0033,0,0.0033
Zambia,ZM,ZMB,LGA,2.7285,2.3778,5.1063
Zambia,ZM,ZMB,LGH,0.023,0.2583,0.2813
Zambia,ZM,ZMB,LGT,0.0228,0.0244,0.0472
Zambia,ZM,ZMB,MIA,0.0189,0.0112,0.0301
Zambia,ZM,ZMB,MRA,0.7853,0.1665,0.9518
Zambia,ZM,ZMB,MRH,0.008,0.0013,0.0093
Zambia,ZM,ZMB,MRT,0,0.0013,0.0013
Zambia,ZM,ZMB,Other,0.5167,2.8499,3.3666
Zambia,ZM,ZMB,Urban,0.0052,0.0083,0.0135
Zimbabwe,ZW,ZWE,LGA,2.9052,0.0383,2.9435
Zimbabwe,ZW,ZWE,LGH,0.0065,0.0086,0.0151
Zimbabwe,ZW,ZWE,LGT,0.3587,0.0276,0.3863
Zimbabwe,ZW,ZWE,MIA,0.0271,0.0063,0.0334
Zimbabwe,ZW,ZWE,MRA,2.395,0.0479,2.4429
Zimbabwe,ZW,ZWE,MRH,0.0023,0.002,0.0043
Zimbabwe,ZW,ZWE,MRT,0.0716,0.005,0.0766
Zimbabwe,ZW,ZWE,Other,0.383,0.1436,0.5266
Zimbabwe,ZW,ZWE,Urban,0.0268,0,0.0268
