country,ISO2,ISO3,lps,index
Angola,AO,AGO,LGA,4.65
Angola,AO,AGO,LGH,3.5
Angola,AO,AGO,Other,2.23
Angola,AO,AGO,MRA,2.15
Angola,AO,AGO,LGT,1.66
Angola,AO,AGO,MRT,0.79
Angola,AO,AGO,MRH,0.32
Angola,AO,AGO,MIA,0.03
Angola,AO,AGO,Urban,0.01
Angola,AO,AGO,LGY,0
Angola,AO,AGO,MRY,0
Benin,BJ,BEN,MRA,4.62
Benin,BJ,BEN,MRH,3.58
Benin,BJ,BEN,LGA,2.48
Benin,BJ,BEN,LGH,1.32
Benin,BJ,BEN,MIH,0.03
Benin,BJ,BEN,Other,0.01
Benin,BJ,BEN,Urban,0
Botswana,BW,BWA,LGA,5
Botswana,BW,BWA,MRA,1.38
Botswana,BW,BWA,Other,0.03
Botswana,BW,BWA,Urban,0.02
Burkina Faso,BF,BFA,MRA,5
Burkina Faso,BF,BFA,LGA,2.03
Burkina Faso,BF,BFA,LGH,0.09
Burkina Faso,BF,BFA,MRH,0
Burkina Faso,BF,BFA,MIA,0
Burkina Faso,BF,BFA,Urban,0
Burundi,BI,BDI,MRT,5
Burundi,BI,BDI,MRH,1.38
Burundi,BI,BDI,Other,0.28
Burundi,BI,BDI,MIH,0.12
Burundi,BI,BDI,LGT,0.03
Burundi,BI,BDI,MIT,0.03
Burundi,BI,BDI,LGH,0.01
Cameroon,CM,CMR,MRA,3.97
Cameroon,CM,CMR,LGH,3.79
Cameroon,CM,CMR,Other,1.86
Cameroon,CM,CMR,MRH,0.77
Cameroon,CM,CMR,MRT,0.72
Cameroon,CM,CMR,LGT,0.4
Cameroon,CM,CMR,LGA,0.27
Cameroon,CM,CMR,MIA,0.02
Cameroon,CM,CMR,MIT,0.01
Cameroon,CM,CMR,MIH,0
Cameroon,CM,CMR,Urban,0
Central African Republic,CF,CAF,LGH,4.92
Central African Republic,CF,CAF,LGA,1.32
Central African Republic,CF,CAF,MRH,0.85
Central African Republic,CF,CAF,Other,0.51
Central African Republic,CF,CAF,MRA,0.5
Chad,TD,TCD,MRA,4.93
Chad,TD,TCD,LGA,4.79
Chad,TD,TCD,LGY,0.12
Chad,TD,TCD,Other,0.12
Chad,TD,TCD,MIA,0.01
Chad,TD,TCD,LGH,0
Chad,TD,TCD,Urban,0
Cote d'Ivoire,CI,CIV,LGH,3.84
Cote d'Ivoire,CI,CIV,MRH,3.71
Cote d'Ivoire,CI,CIV,MRA,0.57
Cote d'Ivoire,CI,CIV,LGA,0.21
Cote d'Ivoire,CI,CIV,Other,0.17
Cote d'Ivoire,CI,CIV,MIH,0.02
Cote d'Ivoire,CI,CIV,Urban,0.01
Cote d'Ivoire,CI,CIV,MIA,0
Democratic Republic of the congo,CD,COD,Other,4.49
Democratic Republic of the congo,CD,COD,LGH,2.83
Democratic Republic of the congo,CD,COD,MRH,1.18
Democratic Republic of the congo,CD,COD,MRT,0.37
Democratic Republic of the congo,CD,COD,LGA,0.29
Democratic Republic of the congo,CD,COD,LGT,0.12
Democratic Republic of the congo,CD,COD,MRA,0.07
Democratic Republic of the congo,CD,COD,MIH,0
Democratic Republic of the congo,CD,COD,Urban,0
Djibouti,DJ,DJI,LGA,5
Djibouti,DJ,DJI,Other,0.06
Equatorial Guinea,GQ,GNQ,Other,5
Equatorial Guinea,GQ,GNQ,MRH,1.16
Equatorial Guinea,GQ,GNQ,LGH,0.38
Equatorial Guinea,GQ,GNQ,MRT,0.06
Eritrea,ER,ERI,LGA,5
Eritrea,ER,ERI,MRA,3.45
Eritrea,ER,ERI,MRT,0.62
Eritrea,ER,ERI,LGT,0.17
Eritrea,ER,ERI,MIA,0.05
Eritrea,ER,ERI,Other,0.02
Ethiopia,ET,ETH,MRT,4.13
Ethiopia,ET,ETH,LGA,1.96
Ethiopia,ET,ETH,MRA,1.11
Ethiopia,ET,ETH,LGT,0.36
Ethiopia,ET,ETH,MRH,0.29
Ethiopia,ET,ETH,LGH,0.27
Ethiopia,ET,ETH,Other,0.22
Ethiopia,ET,ETH,MIT,0.08
Ethiopia,ET,ETH,MIA,0.02
Ethiopia,ET,ETH,MIH,0
Ethiopia,ET,ETH,Urban,0
Gabon,GA,GAB,Other,4.92
Gabon,GA,GAB,MRH,1.45
Gabon,GA,GAB,LGH,1.18
Gabon,GA,GAB,Urban,0.02
Gabon,GA,GAB,MIH,0
Ghana,GH,GHA,MRH,4.39
Ghana,GH,GHA,LGH,2.61
Ghana,GH,GHA,MRA,1.58
Ghana,GH,GHA,LGA,1.04
Ghana,GH,GHA,Other,0.21
Ghana,GH,GHA,Urban,0.02
Guinea,GN,GIN,LGH,4.39
Guinea,GN,GIN,MRH,3.88
Guinea,GN,GIN,LGA,3.59
Guinea,GN,GIN,MRA,0.84
Guinea,GN,GIN,Other,0.29
Guinea,GN,GIN,MIA,0.08
Guinea,GN,GIN,MIH,0
Guinea,GN,GIN,Urban,0
Guinea-Bissau,GW,GNB,MRA,4.66
Guinea-Bissau,GW,GNB,LGA,4.52
Guinea-Bissau,GW,GNB,Other,1.16
Guinea-Bissau,GW,GNB,MRH,0.22
Guinea-Bissau,GW,GNB,MIA,0.21
Guinea-Bissau,GW,GNB,MRY,0
Kenya,KE,KEN,LGA,4.12
Kenya,KE,KEN,MRT,3.53
Kenya,KE,KEN,Other,1.71
Kenya,KE,KEN,MRH,1.49
Kenya,KE,KEN,MRA,1.24
Kenya,KE,KEN,LGT,0.77
Kenya,KE,KEN,LGH,0.16
Kenya,KE,KEN,MIH,0.06
Kenya,KE,KEN,MIA,0.05
Kenya,KE,KEN,MIT,0
Kenya,KE,KEN,Urban,0
Lesotho,LS,LSO,LGT,4.66
Lesotho,LS,LSO,MRT,3.77
Lesotho,LS,LSO,MIT,0.01
Liberia,LR,LBR,MRH,5
Liberia,LR,LBR,Other,1.28
Liberia,LR,LBR,MRY,0
Liberia,LR,LBR,LGH,0
Madagascar,MG,MDG,LGA,4.86
Madagascar,MG,MDG,Other,2.33
Madagascar,MG,MDG,MRH,1.6
Madagascar,MG,MDG,LGH,1.46
Madagascar,MG,MDG,LGT,1.09
Madagascar,MG,MDG,MRA,0.24
Madagascar,MG,MDG,MIA,0.22
Madagascar,MG,MDG,MIH,0.09
Madagascar,MG,MDG,MRT,0.05
Madagascar,MG,MDG,MIT,0.03
Madagascar,MG,MDG,LGY,0
Madagascar,MG,MDG,MRY,0
Malawi,MW,MWI,MRA,4.9
Malawi,MW,MWI,LGA,1.82
Malawi,MW,MWI,Other,1.52
Malawi,MW,MWI,MRH,1.39
Malawi,MW,MWI,LGH,0.61
Malawi,MW,MWI,LGT,0.18
Malawi,MW,MWI,MRT,0.18
Malawi,MW,MWI,MIA,0
Malawi,MW,MWI,Urban,0
Mali,ML,MLI,MRA,4.73
Mali,ML,MLI,LGA,4.18
Mali,ML,MLI,LGY,0.13
Mali,ML,MLI,MIA,0.12
Mali,ML,MLI,Other,0
Mali,ML,MLI,Urban,0
Mauritania,MR,MRT,LGA,5
Mauritania,MR,MRT,MRA,1.48
Mauritania,MR,MRT,LGY,0.04
Mauritania,MR,MRT,MIA,0.03
Mauritania,MR,MRT,Urban,0
Mauritania,MR,MRT,Other,0
Mozambique,MZ,MOZ,LGA,5
Mozambique,MZ,MOZ,Other,3.51
Mozambique,MZ,MOZ,MRA,2.33
Mozambique,MZ,MOZ,LGH,1.44
Mozambique,MZ,MOZ,MRH,0.96
Mozambique,MZ,MOZ,MIA,0.04
Mozambique,MZ,MOZ,MRT,0.02
Mozambique,MZ,MOZ,LGT,0
Mozambique,MZ,MOZ,MIH,0
Mozambique,MZ,MOZ,LGY,0
Mozambique,MZ,MOZ,MRY,0
Mozambique,MZ,MOZ,Urban,0
Namibia,0,NAM,LGA,5
Namibia,0,NAM,MRA,2.13
Namibia,0,NAM,Urban,0.06
Namibia,0,NAM,Other,0.01
Namibia,0,NAM,LGY,0
Namibia,0,NAM,LGT,0
Namibia,0,NAM,MRT,0
Niger,NE,NER,MRA,4.18
Niger,NE,NER,LGA,3.94
Niger,NE,NER,LGY,0.02
Niger,NE,NER,MIA,0
Niger,NE,NER,Other,0
Niger,NE,NER,Urban,0
Nigeria,NG,NGA,MRA,4.78
Nigeria,NG,NGA,MRH,2.95
Nigeria,NG,NGA,LGH,0.61
Nigeria,NG,NGA,Other,0.27
Nigeria,NG,NGA,LGA,0.09
Nigeria,NG,NGA,MIA,0.05
Nigeria,NG,NGA,LGT,0.02
Nigeria,NG,NGA,MRT,0.02
Nigeria,NG,NGA,Urban,0.02
Nigeria,NG,NGA,MIH,0
Republic of the Congo,CG,COG,Other,4.4
Republic of the Congo,CG,COG,LGH,2.68
Republic of the Congo,CG,COG,MRH,0.55
Republic of the Congo,CG,COG,Urban,0.02
Republic of the Congo,CG,COG,MIH,0.01
Rwanda,RW,RWA,MRT,5
Rwanda,RW,RWA,MRH,3.1
Rwanda,RW,RWA,Other,0.29
Rwanda,RW,RWA,LGH,0.12
Rwanda,RW,RWA,LGT,0.02
Rwanda,RW,RWA,MIH,0.02
Senegal,SN,SEN,MRA,5
Senegal,SN,SEN,LGA,1.5
Senegal,SN,SEN,Other,0.06
Senegal,SN,SEN,MIA,0.01
Senegal,SN,SEN,Urban,0
Sierra Leone,SL,SLE,MRH,4.97
Sierra Leone,SL,SLE,LGH,1.41
Sierra Leone,SL,SLE,Other,0.35
Sierra Leone,SL,SLE,MIH,0.23
Sierra Leone,SL,SLE,MRT,0
Somalia,SO,SOM,LGA,5
Somalia,SO,SOM,MRA,0.68
Somalia,SO,SOM,MIA,0.21
Somalia,SO,SOM,Other,0.13
Somalia,SO,SOM,LGY,0.05
Somalia,SO,SOM,LGT,0
South Africa,ZA,ZAF,LGA,4.25
South Africa,ZA,ZAF,MRA,3.52
South Africa,ZA,ZAF,MRT,3.32
South Africa,ZA,ZAF,MRH,1.66
South Africa,ZA,ZAF,LGT,1.63
South Africa,ZA,ZAF,Other,1.35
South Africa,ZA,ZAF,LGH,0.66
South Africa,ZA,ZAF,MIA,0.3
South Africa,ZA,ZAF,Urban,0.24
South Africa,ZA,ZAF,MIH,0.08
South Africa,ZA,ZAF,MIT,0.06
South Africa,ZA,ZAF,LGY,0
South Sudan,SS,SSD,LGA,4.93
South Sudan,SS,SSD,MRA,3.44
South Sudan,SS,SSD,LGH,2.77
South Sudan,SS,SSD,Other,0.61
South Sudan,SS,SSD,MRH,0.5
South Sudan,SS,SSD,MRT,0.02
South Sudan,SS,SSD,LGT,0.01
Sudan,SD,SDN,MRA,4.9
Sudan,SD,SDN,LGA,3.68
Sudan,SD,SDN,MIA,0.56
Sudan,SD,SDN,LGY,0.11
Sudan,SD,SDN,MIY,0.01
Sudan,SD,SDN,MRY,0
Sudan,SD,SDN,MRT,0
Sudan,SD,SDN,Other,0
Sudan,SD,SDN,Urban,0
Tanzania,TZ,TZA,MRA,5
Tanzania,TZ,TZA,MRH,3.25
Tanzania,TZ,TZA,LGA,2.18
Tanzania,TZ,TZA,Other,2.12
Tanzania,TZ,TZA,LGH,1.38
Tanzania,TZ,TZA,MRT,0.81
Tanzania,TZ,TZA,LGT,0.34
Tanzania,TZ,TZA,MIA,0.02
Tanzania,TZ,TZA,Urban,0.01
Tanzania,TZ,TZA,MIT,0
Tanzania,TZ,TZA,MRY,0
Togo,TG,TGO,MRH,5
Togo,TG,TGO,MRA,2.5
Togo,TG,TGO,LGH,1.86
Togo,TG,TGO,LGA,0.47
Togo,TG,TGO,Other,0.04
Togo,TG,TGO,Urban,0.04
Togo,TG,TGO,MIH,0.01
Uganda,UG,UGA,MRH,5
Uganda,UG,UGA,MRT,1.01
Uganda,UG,UGA,LGH,0.66
Uganda,UG,UGA,Other,0.44
Uganda,UG,UGA,MRA,0.41
Uganda,UG,UGA,LGA,0.13
Uganda,UG,UGA,LGT,0.03
Uganda,UG,UGA,Urban,0.01
Zambia,ZM,ZMB,LGA,5
Zambia,ZM,ZMB,Other,1.57
Zambia,ZM,ZMB,MRA,1.4
Zambia,ZM,ZMB,LGH,0.35
Zambia,ZM,ZMB,LGT,0.12
Zambia,ZM,ZMB,MIA,0.04
Zambia,ZM,ZMB,MRH,0.03
Zambia,ZM,ZMB,Urban,0.01
Zambia,ZM,ZMB,MRT,0
Zimbabwe,ZW,ZWE,LGA,5
Zimbabwe,ZW,ZWE,MRA,3.57
Zimbabwe,ZW,ZWE,Other,0.85
Zimbabwe,ZW,ZWE,LGT,0.79
Zimbabwe,ZW,ZWE,MRT,0.15
Zimbabwe,ZW,ZWE,Urban,0.07
Zimbabwe,ZW,ZWE,MIA,0.06
Zimbabwe,ZW,ZWE,LGH,0.02
Zimbabwe,ZW,ZWE,MRH,0
